combo_id,methods,k,rows,dataset_path,status
50018cc896,nlp_cwe_insert_roberta,1,4095,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_1_50018cc896/dataset.csv,ok
4cc8bb7428,nlp_randchar_swap,1,4053,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_1_4cc8bb7428/dataset.csv,ok
b203623006,ta_char_rand_del,1,64,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_1_b203623006/dataset.csv,ok
1cdb090ace,nlp_cwe_insert_roberta+nlp_keyboard,2,3846,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_1cdb090ace/dataset.csv,ok
40e15fe831,nlp_cwe_insert_roberta+nlp_randword_sub,2,3946,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_40e15fe831/dataset.csv,ok
ae124d7a86,nlp_cwe_insert_roberta+ta_char_rand_swap,2,265,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_ae124d7a86/dataset.csv,ok
084a726847,nlp_cwe_insert_roberta+ta_wordswap_embedding,2,3766,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_084a726847/dataset.csv,ok
d1eb94c89a,nlp_cwe_sub_roberta+nlp_randchar_ins,2,1177,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_d1eb94c89a/dataset.csv,ok
5440a7419a,nlp_cwe_sub_roberta+nlp_wordnet_syn,2,3460,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_5440a7419a/dataset.csv,ok
2e9d856a70,nlp_cwe_sub_roberta+ta_wordswap_wordnet,2,3657,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_2e9d856a70/dataset.csv,ok
9934f94998,nlp_keyboard+nlp_randword_sub,2,4032,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_9934f94998/dataset.csv,ok
5c223a81c5,nlp_keyboard+ta_char_rand_swap,2,364,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_5c223a81c5/dataset.csv,ok
effde0b419,nlp_keyboard+ta_wordswap_embedding,2,3592,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_effde0b419/dataset.csv,ok
e2d7331f84,nlp_ocr+nlp_randchar_swap,2,3441,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_e2d7331f84/dataset.csv,ok
68995c97c6,nlp_ocr+ta_char_rand_del,2,66,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_68995c97c6/dataset.csv,ok
7676815c8e,nlp_ocr+ta_word_insert_syn,2,2678,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_7676815c8e/dataset.csv,ok
29fa0210af,nlp_randchar_del+nlp_randchar_sub,2,1443,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_29fa0210af/dataset.csv,ok
e7f8cd56ad,nlp_randchar_del+ta_char_neighbor,2,315,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_e7f8cd56ad/dataset.csv,ok
a57bf45c01,nlp_randchar_del+ta_word_delete,2,1384,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_a57bf45c01/dataset.csv,ok
6c592d8c16,nlp_randchar_ins+nlp_randchar_sub,2,1340,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_6c592d8c16/dataset.csv,ok
c0d6c11bc0,nlp_randchar_ins+ta_char_neighbor,2,224,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_c0d6c11bc0/dataset.csv,ok
22af170363,nlp_randchar_ins+ta_word_delete,2,1198,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_22af170363/dataset.csv,ok
45aac8102d,nlp_randchar_sub+nlp_randchar_swap,2,4018,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_45aac8102d/dataset.csv,ok
aa98643094,nlp_randchar_sub+ta_char_rand_del,2,48,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_aa98643094/dataset.csv,ok
9d5f2d6c89,nlp_randchar_sub+ta_word_insert_syn,2,3091,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_9d5f2d6c89/dataset.csv,ok
82a5df9eb5,nlp_randchar_swap+nlp_randword_sub,2,3992,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_82a5df9eb5/dataset.csv,ok
53e38b1c26,nlp_randchar_swap+ta_char_rand_swap,2,375,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_53e38b1c26/dataset.csv,ok
4e12fd53f8,nlp_randchar_swap+ta_wordswap_embedding,2,3581,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_4e12fd53f8/dataset.csv,ok
2b0f0ec76e,nlp_randword_delete+nlp_wordnet_syn,2,3659,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_2b0f0ec76e/dataset.csv,ok
804423b51f,nlp_randword_delete+ta_wordswap_wordnet,2,3725,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_804423b51f/dataset.csv,ok
5b7810d9be,nlp_randword_sub+ta_char_rand_swap,2,579,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_5b7810d9be/dataset.csv,ok
b288191417,nlp_randword_sub+ta_wordswap_embedding,2,3492,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_b288191417/dataset.csv,ok
f156fe5eab,nlp_spelling+ta_char_rand_del,2,71,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_f156fe5eab/dataset.csv,ok
88648c2fe3,nlp_spelling+ta_word_insert_syn,2,1332,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_88648c2fe3/dataset.csv,ok
bceddede24,nlp_wordnet_insert+ta_char_neighbor,2,405,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_bceddede24/dataset.csv,ok
724d129552,nlp_wordnet_insert+ta_word_delete,2,2952,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_724d129552/dataset.csv,ok
ad6b3eb381,nlp_wordnet_syn+ta_char_neighbor,2,271,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_ad6b3eb381/dataset.csv,ok
6fc518f90d,nlp_wordnet_syn+ta_word_delete,2,2832,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_6fc518f90d/dataset.csv,ok
b10be63fc6,ta_char_neighbor+ta_char_rand_del,2,48,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_b10be63fc6/dataset.csv,ok
718aacde4a,ta_char_neighbor+ta_word_insert_syn,2,379,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_718aacde4a/dataset.csv,ok
03639f379d,ta_char_rand_del+ta_char_rand_swap,2,52,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_03639f379d/dataset.csv,ok
02b9ec119f,ta_char_rand_del+ta_wordswap_embedding,2,71,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_02b9ec119f/dataset.csv,ok
1582b551c1,ta_char_rand_ins+ta_wordswap_wordnet,2,61,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_1582b551c1/dataset.csv,ok
ab4f4e17cb,ta_char_rand_swap+ta_wordswap_embedding,2,397,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_ab4f4e17cb/dataset.csv,ok
7c1cbfc07b,ta_contraction+ta_word_insert_syn,2,145,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_7c1cbfc07b/dataset.csv,ok
2860089022,ta_word_delete+ta_word_insert_syn,2,2473,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_2860089022/dataset.csv,ok
357e6bc01f,ta_word_insert_syn+ta_wordswap_embedding,2,2598,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_357e6bc01f/dataset.csv,ok
be7ea8290b,nlp_cwe_sub_roberta,1,3922,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_1_be7ea8290b/dataset.csv,ok
892e22af9e,nlp_randword_delete,1,3586,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_1_892e22af9e/dataset.csv,ok
1c4c8c6b6c,ta_char_rand_ins,1,64,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_1_1c4c8c6b6c/dataset.csv,ok
00776356cf,nlp_cwe_insert_roberta+nlp_ocr,2,3607,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_00776356cf/dataset.csv,ok
95d8f30490,nlp_cwe_insert_roberta+nlp_spelling,2,1261,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_95d8f30490/dataset.csv,ok
bd456a7475,nlp_cwe_insert_roberta+ta_contraction,2,74,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_bd456a7475/dataset.csv,ok
af85c15e1d,nlp_cwe_insert_roberta+ta_wordswap_homoglyph,2,296,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_af85c15e1d/dataset.csv,ok
9c368e1678,nlp_cwe_sub_roberta+nlp_randchar_sub,2,3827,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_9c368e1678/dataset.csv,ok
befcb68ad8,nlp_cwe_sub_roberta+ta_char_neighbor,2,374,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_befcb68ad8/dataset.csv,ok
6e48b637fd,nlp_cwe_sub_roberta+ta_word_delete,2,3164,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_6e48b637fd/dataset.csv,ok
10f3d2f80b,nlp_keyboard+nlp_ocr,2,3836,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_10f3d2f80b/dataset.csv,ok
9be337a86e,nlp_keyboard+nlp_spelling,2,1876,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_9be337a86e/dataset.csv,ok
bf921f2471,nlp_keyboard+ta_contraction,2,87,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_bf921f2471/dataset.csv,ok
a18cb2620b,nlp_keyboard+ta_wordswap_homoglyph,2,362,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_a18cb2620b/dataset.csv,ok
3878cd6201,nlp_ocr+nlp_randword_delete,2,3404,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_3878cd6201/dataset.csv,ok
781741129c,nlp_ocr+ta_char_rand_ins,2,55,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_781741129c/dataset.csv,ok
900d116d7e,nlp_randchar_del+nlp_randchar_swap,2,1453,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_900d116d7e/dataset.csv,ok
5069da5e61,nlp_randchar_del+ta_char_rand_del,2,49,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_5069da5e61/dataset.csv,ok
a637baf7d4,nlp_randchar_del+ta_word_insert_syn,2,1445,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_a637baf7d4/dataset.csv,ok
8a1f4dba51,nlp_randchar_ins+nlp_randchar_swap,2,1370,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_8a1f4dba51/dataset.csv,ok
c738015e37,nlp_randchar_ins+ta_char_rand_del,2,68,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_c738015e37/dataset.csv,ok
2f44e6de15,nlp_randchar_ins+ta_word_insert_syn,2,1064,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_2f44e6de15/dataset.csv,ok
97611ae04f,nlp_randchar_sub+nlp_randword_delete,2,4035,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_97611ae04f/dataset.csv,ok
338e9c127f,nlp_randchar_sub+ta_char_rand_ins,2,57,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_338e9c127f/dataset.csv,ok
8c5dd6c5db,nlp_randchar_swap+nlp_spelling,2,1044,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_8c5dd6c5db/dataset.csv,ok
806a144951,nlp_randchar_swap+ta_contraction,2,89,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_806a144951/dataset.csv,ok
1bfa400d58,nlp_randchar_swap+ta_wordswap_homoglyph,2,383,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_1bfa400d58/dataset.csv,ok
d3cc9c164a,nlp_randword_delete+ta_char_neighbor,2,679,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_d3cc9c164a/dataset.csv,ok
928d24fe73,nlp_randword_delete+ta_word_delete,2,3074,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_928d24fe73/dataset.csv,ok
7db3a5db63,nlp_randword_sub+nlp_spelling,2,1310,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_7db3a5db63/dataset.csv,ok
81ccdef6b6,nlp_randword_sub+ta_contraction,2,129,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_81ccdef6b6/dataset.csv,ok
61cc08dc58,nlp_randword_sub+ta_wordswap_homoglyph,2,564,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_61cc08dc58/dataset.csv,ok
cd5dde509c,nlp_spelling+ta_char_rand_ins,2,78,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_cd5dde509c/dataset.csv,ok
74c4f04638,nlp_wordnet_insert+ta_char_rand_del,2,90,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_74c4f04638/dataset.csv,ok
042c2ba7ca,nlp_wordnet_insert+ta_word_insert_syn,2,2847,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_042c2ba7ca/dataset.csv,ok
e435c816d2,nlp_wordnet_syn+ta_char_rand_del,2,52,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_e435c816d2/dataset.csv,ok
dc3725a85f,nlp_wordnet_syn+ta_word_insert_syn,2,2808,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_dc3725a85f/dataset.csv,ok
bc4a9cd6b8,ta_char_neighbor+ta_char_rand_ins,2,61,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_bc4a9cd6b8/dataset.csv,ok
b48c8c5835,ta_char_rand_del+ta_contraction,2,1,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_b48c8c5835/dataset.csv,ok
9864476718,ta_char_rand_del+ta_wordswap_homoglyph,2,53,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_9864476718/dataset.csv,ok
747297a0c4,ta_char_rand_ins+ta_word_delete,2,59,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_747297a0c4/dataset.csv,ok
e133145774,ta_char_rand_swap+ta_contraction,2,23,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_e133145774/dataset.csv,ok
be303f982f,ta_char_rand_swap+ta_wordswap_homoglyph,2,386,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_be303f982f/dataset.csv,ok
a8865f0657,ta_mlm_sub_bert+ta_word_insert_syn,2,2928,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_a8865f0657/dataset.csv,ok
182e137869,ta_mlm_sub_roberta+ta_word_insert_syn,2,2950,/experiment/YuNing/DataAugmentation_ReDSM5/data/processed/augsets/combo_2_182e137869/dataset.csv,ok
