id,category,post
412,anhedonia,Reminder to future me: Checking off hobbies like tasks instead of enjoying them.
397,brain_fog,"Status check: Brain is buffering… please wait. Hydration and a stretch break, here we go."
1463,self_esteem,Comparing myself to others is a trap I keep falling into.
1310,somatic,Stomach in knots when stress shows up. Trying to be patient with myself.
1887,social_anxiety,Cancelling plans because my nerves won't cooperate. Stepping outside for a minute of fresh air.
422,burnout,Reminder to future me: Everything feels like a chore—even things I usually enjoy. Setting tiny goals and tiny wins.
168,panic_like,Reminder to future me: Mind went blank and body hit the gas—classic surge of nerves. Stepping outside for a minute of fresh air.
822,stress,Note to self: Tension living in my shoulders rent-free. Stepping outside for a minute of fresh air.
1743,appetite_sleep_change,Reminder to future me: Body clock and hunger cues feel out of sync. Journaling and short walks help a bit.
759,somatic,Back tension says hello every time I sit down.
1247,guilt_shame,Trying to remember progress > perfection. Stepping outside for a minute of fresh air.
1678,social_anxiety,Overanalyzing every message I send—did that sound weird? Taking it one breath at a time.
1254,self_esteem,Not gonna lie— Comparing myself to others is a trap I keep falling into. Reminding myself that feelings pass.
1214,brain_fog,Real talk: Words are playing hide-and-seek with my mouth.
1145,stress,Trying to breathe through the stress one task at a time.
1137,panic_like,Chest feels tight when stress stacks up quickly. Journaling and short walks help a bit.
81,stress,Not gonna lie— So many tabs open in my head and none are loading. Taking it one breath at a time.
1731,anxiety,"Reminder to future me: Overthinking every little thing again. Brain, please chill. Texting a friend to check in."
324,low_mood,Motivation is MIA and everything feels muted. Stepping outside for a minute of fresh air.
1597,low_mood,Real talk: Feeling down today and can't shake the gray cloud.
1334,burnout,Today in mental health: Everything feels like a chore—even things I usually enjoy.
715,guilt_shame,Reminder to future me: Guilt brain is loud over small mistakes. Texting a friend to check in.
1785,somatic,Update: Back tension says hello every time I sit down. Journaling and short walks help a bit.
1671,somatic,Neck and shoulders hosting a permanent knot convention. Texting a friend to check in.
108,anhedonia,"Hard to find the spark for stuff that once lit me up. Hydration and a stretch break, here we go."
387,adhd_like,Reminder to future me: Started five tasks and finished none—attention is on vacation. Setting tiny goals and tiny wins.
537,stress,Note to self: So many tabs open in my head and none are loading. Journaling and short walks help a bit.
1668,irritability,Apologizing in advance for my short fuse—working on it.
999,loneliness,Real talk: Scrolling for company isn't cutting it today. Reminding myself that feelings pass.
934,insomnia,Status check: Counted a thousand imaginary sheep and still wide awake. Taking it one breath at a time.
579,ptsd_like,"Random sounds put me on edge more than I'd like to admit. Hydration and a stretch break, here we go."
528,irritability,Everything feels a bit like nails on a chalkboard. Texting a friend to check in.
1105,insomnia,"Note to self: Third night in a row staring at the ceiling at 3AM. Hydration and a stretch break, here we go."
1122,low_mood,Update: Feeling down today and can't shake the gray cloud. Stepping outside for a minute of fresh air.
896,insomnia,Alarm goes off right when I finally drift off. Brutal. Trying to be patient with myself.
685,low_mood,Motivation is MIA and everything feels muted. Texting a friend to check in.
556,stress,Not gonna lie— Trying to breathe through the stress one task at a time. Setting tiny goals and tiny wins.
1735,social_anxiety,Not gonna lie— Small talk feels like a boss-level challenge sometimes.
71,appetite_sleep_change,Today in mental health: Trying to notice patterns without judging myself. Stepping outside for a minute of fresh air.
491,panic_like,Sudden wave of jitters out of nowhere—breathing through it. Journaling and short walks help a bit.
1014,adhd_like,Sticky notes are my second brain and they’re full. Stepping outside for a minute of fresh air.
1602,social_anxiety,Status check: Crowds turn my brain into static; need quiet time to reset. Setting tiny goals and tiny wins.
641,appetite_sleep_change,Today in mental health: Either sleeping too much or not at all—no in-between.
1676,burnout,Running on fumes and to-do list keeps growing. Trying to be patient with myself.
1053,ocd_like_worry,Note to self: Looping on the same worry even though I know it's irrational. Texting a friend to check in.
949,somatic,"Back tension says hello every time I sit down. Hydration and a stretch break, here we go."
233,stress,"Reminder to future me: Tension living in my shoulders rent-free. Hydration and a stretch break, here we go."
331,ocd_like_worry,Looping on the same worry even though I know it's irrational. Trying to be patient with myself.
953,insomnia,Counted a thousand imaginary sheep and still wide awake. Journaling and short walks help a bit.
368,adhd_like,"Timer on, distractions off… still drifting. Setting tiny goals and tiny wins."
1061,panic_like,"Sudden wave of jitters out of nowhere—breathing through it. Hydration and a stretch break, here we go."
1475,guilt_shame,Today in mental health: Guilt brain is loud over small mistakes. Taking it one breath at a time.
158,social_anxiety,Overanalyzing every message I send—did that sound weird? Setting tiny goals and tiny wins.
829,guilt_shame,Trying to remember progress > perfection. Stepping outside for a minute of fresh air.
572,anxiety,My mind's racing with what-ifs and it's exhausting.
642,irritability,Snapped over something tiny—wish I could rewind.
60,insomnia,Note to self: Alarm goes off right when I finally drift off. Brutal. Taking it one breath at a time.
490,irritability,Everything feels a bit like nails on a chalkboard. Stepping outside for a minute of fresh air.
927,irritability,Real talk: Snapped over something tiny—wish I could rewind. Journaling and short walks help a bit.
1480,brain_fog,Reading the same sentence five times and still nothing. Stepping outside for a minute of fresh air.
1830,social_anxiety,Update: Small talk feels like a boss-level challenge sometimes. Taking it one breath at a time.
567,panic_like,"Sudden wave of jitters out of nowhere—breathing through it. Hydration and a stretch break, here we go."
260,anhedonia,Hard to find the spark for stuff that once lit me up. Texting a friend to check in.
1821,panic_like,Reminder to future me: Counting breaths and waiting for the spike to pass. Stepping outside for a minute of fresh air.
1705,appetite_sleep_change,If anyone else needs to hear this: Trying to notice patterns without judging myself. Setting tiny goals and tiny wins.
20,low_mood,Note to self: It's one of those low-energy days where even coffee can't lift me.
1880,somatic,"Not gonna lie— Neck and shoulders hosting a permanent knot convention. Hydration and a stretch break, here we go."
1200,insomnia,Today in mental health: Third night in a row staring at the ceiling at 3AM.
143,fatigue,"Status check: Tired behind the eyes even after resting. Hydration and a stretch break, here we go."
1023,panic_like,Status check: Counting breaths and waiting for the spike to pass. Reminding myself that feelings pass.
1963,social_anxiety,Today in mental health: Overanalyzing every message I send—did that sound weird? Taking it one breath at a time.
1049,burnout,Today in mental health: Work brain is fried; focus meter stuck at 10%. Setting tiny goals and tiny wins.
263,panic_like,Sudden wave of jitters out of nowhere—breathing through it. Setting tiny goals and tiny wins.
1399,guilt_shame,Reminder to future me: Guilt brain is loud over small mistakes.
656,fatigue,"Note to self: I could nap on a moving bus right now. Hydration and a stretch break, here we go."
1507,social_anxiety,"Crowds turn my brain into static; need quiet time to reset. Hydration and a stretch break, here we go."
506,guilt_shame,Not gonna lie— Wishing I could be kinder to myself when I slip up. Taking it one breath at a time.
1063,somatic,Stomach in knots when stress shows up. Journaling and short walks help a bit.
894,low_mood,Update: Woke up heavy—like my energy got drained overnight. Journaling and short walks help a bit.
355,anhedonia,Reminder to future me: Things I used to love feel dim lately. Trying to be patient with myself.
745,burnout,Today in mental health: Work brain is fried; focus meter stuck at 10%.
314,fatigue,Note to self: Tired behind the eyes even after resting.
1373,stress,Real talk: Tension living in my shoulders rent-free. Stepping outside for a minute of fresh air.
310,social_anxiety,Update: Overanalyzing every message I send—did that sound weird?
1823,somatic,Back tension says hello every time I sit down. Setting tiny goals and tiny wins.
827,fatigue,Note to self: Dragging myself through the afternoon slump again. Setting tiny goals and tiny wins.
615,adhd_like,"Hyperfocus yesterday, scattered confetti brain today."
1639,stress,Update: Deadline season again and my jaw hasn't unclenched all day.
1169,fatigue,Today in mental health: Tired behind the eyes even after resting. Reminding myself that feelings pass.
1827,insomnia,Status check: Sleep and I are not on speaking terms lately. Taking it one breath at a time.
252,stress,Not gonna lie— Trying to breathe through the stress one task at a time. Setting tiny goals and tiny wins.
132,somatic,"Note to self: Neck and shoulders hosting a permanent knot convention. Hydration and a stretch break, here we go."
957,adhd_like,"Today in mental health: Timer on, distractions off… still drifting."
1683,loneliness,If anyone else needs to hear this: Scrolling for company isn't cutting it today. Trying to be patient with myself.
106,loneliness,Scrolling for company isn't cutting it today. Journaling and short walks help a bit.
1499,brain_fog,Words are playing hide-and-seek with my mouth. Reminding myself that feelings pass.
39,low_mood,"It's one of those low-energy days where even coffee can't lift me. Hydration and a stretch break, here we go."
796,brain_fog,Brain is buffering… please wait. Reminding myself that feelings pass.
259,guilt_shame,Not gonna lie— Guilt brain is loud over small mistakes. Trying to be patient with myself.
1234,somatic,Back tension says hello every time I sit down.
1909,ptsd_like,"Random sounds put me on edge more than I'd like to admit. Hydration and a stretch break, here we go."
201,loneliness,Surrounded by people yet feeling oddly alone.
811,anhedonia,Hard to find the spark for stuff that once lit me up. Texting a friend to check in.
1603,adhd_like,"Timer on, distractions off… still drifting. Stepping outside for a minute of fresh air."
171,self_esteem,Note to self: Trying to believe 'good enough' can actually be good.
229,low_mood,Update: It's one of those low-energy days where even coffee can't lift me. Texting a friend to check in.
1500,somatic,Headache visiting again—wish it would leave a forwarding address. Texting a friend to check in.
261,appetite_sleep_change,Status check: Either sleeping too much or not at all—no in-between.
1847,burnout,Work brain is fried; focus meter stuck at 10%. Texting a friend to check in.
51,anhedonia,Today in mental health: Things I used to love feel dim lately.
871,panic_like,Note to self: Sudden wave of jitters out of nowhere—breathing through it. Texting a friend to check in.
1372,burnout,"Everything feels like a chore—even things I usually enjoy. Hydration and a stretch break, here we go."
1533,anhedonia,Note to self: Joy feels muted—like the volume's turned down. Reminding myself that feelings pass.
1292,self_esteem,Learning to talk to myself like I would a friend. Trying to be patient with myself.
1722,guilt_shame,That nagging 'not good enough' voice showed up again.
47,ptsd_like,If anyone else needs to hear this: Random sounds put me on edge more than I'd like to admit.
1633,somatic,Stomach in knots when stress shows up. Stepping outside for a minute of fresh air.
284,somatic,Not gonna lie— Headache visiting again—wish it would leave a forwarding address. Stepping outside for a minute of fresh air.
341,somatic,Neck and shoulders hosting a permanent knot convention. Journaling and short walks help a bit.
1761,anhedonia,Things I used to love feel dim lately. Trying to be patient with myself.
237,ptsd_like,Note to self: Some days my body reacts before my brain understands why.
892,somatic,Status check: Headache visiting again—wish it would leave a forwarding address. Trying to be patient with myself.
1336,social_anxiety,Small talk feels like a boss-level challenge sometimes.
354,guilt_shame,Status check: Guilt brain is loud over small mistakes. Journaling and short walks help a bit.
1421,irritability,Real talk: Apologizing in advance for my short fuse—working on it. Journaling and short walks help a bit.
971,anxiety,"Overthinking every little thing again. Brain, please chill."
623,irritability,Apologizing in advance for my short fuse—working on it. Journaling and short walks help a bit.
1312,low_mood,"It's one of those low-energy days where even coffee can't lift me. Hydration and a stretch break, here we go."
1811,social_anxiety,Today in mental health: Cancelling plans because my nerves won't cooperate.
1814,ptsd_like,Real talk: Hypervigilant today—feels like my guard can't drop. Journaling and short walks help a bit.
166,appetite_sleep_change,Note to self: Appetite keeps swinging from 'meh' to 'everything' lately. Reminding myself that feelings pass.
699,irritability,Patience meter is shorter than usual today. Setting tiny goals and tiny wins.
1801,irritability,"Status check: Patience meter is shorter than usual today. Hydration and a stretch break, here we go."
1471,ocd_like_worry,Today in mental health: Wish my mind had a 'good enough' button.
1501,self_esteem,Real talk: Comparing myself to others is a trap I keep falling into. Trying to be patient with myself.
184,anhedonia,Checking off hobbies like tasks instead of enjoying them.
1719,ptsd_like,Random sounds put me on edge more than I'd like to admit.
