post_id,original_post,augmented_post,evidence_sentence,status
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I dremembbeLr Zafte)r running off, I was lyi5ncg in the miUddAle of the room for weTejks, in complete hLoNrror and not sbeitng &ab6le to (mKove. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I meber ftr running off, I was lyg in the midl of the ro for wks, in complete horo and not ing le to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I zeiembIr ab@er runSihR off, I was l2zng in the mR$dle of the GooO for w2ekI, in com7^ege Oorr&r and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I r3meKbeD aR$er running off, I was lyunB in the KiXdle of the %oo< for 3eeIs, in complete hor5oF and not being wblD to mibe. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. 1 remember aftek konnin9 off, I wa8 lying in the middle of the ruum for weer8, in complete horror and not 6ein9 able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I call up after flow off, I was lying in the middle of the elbow room for week, in complete horror and non being able to run. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I forget after malfunction off, I differ sit in the middle of the room for weeks, in incomplete horror and not differ unable to stay in place. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. Remember I after running off I, was in the lying middle the of room weeks for, in complete horror and not being able move to. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I running off, was lying in the middle of the room for, complete and able to. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
s_1270_9,"Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","Im not sleeping and my stomach hurts I recently diagnosed myself with adhd, c-ptsd and possibly ASD with extreme executive dysfunction. Ever since running away from insane abusive parents, I was living alone, and I wasnt even able to feed myself on my own. If not for deliveries, I would be long dead. I hate delivery food so much. This has been going on for two years, and my health became worse. I remembering aftr runig off, I''m was liying in the middle of lhe room for weeks, in complete horror and nopt being abled o move. Eventually I was able to stall everything. My sleep schedule was non existent, I was sleeping days and playing games or watching anime during nights. For the past week my stomach has been very bad. I guess that skipping breakfast for two years does have consequences. I had two months when I was able to fix my sleep, but now I cant fall asleep until sunrise again. Every new panic attack is more suicidal that previous. I so many plans for many human lifetimes and I dont want to die, but Im suffering way too much. Much more that a human body was made to withstand. Funny enough my adhd so far has prevented me from focusing on self harm, but it doesnt last forever.","I remember after running off, I was lying in the middle of the room for weeks, in complete horror and not being able to move.",1
